dataset,episode_id,label,tau,first_violation_step,detail
langgraph7b,langgraph-looping-008,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-009,looping,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-011,looping,2,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-012,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-013,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-014,looping,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-016,looping,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-017,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-018,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-019,looping,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-020,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-021,looping,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-022,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-023,looping,3,4,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-024,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-025,looping,3,4,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-026,looping,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-027,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-028,looping,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-030,looping,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-031,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-032,looping,3,4,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-033,looping,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-034,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-035,looping,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-000,context_corruption,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-001,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-002,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-003,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-004,context_corruption,2,2,search_catalog returned a malformed result
langgraph7b,langgraph-context_corruption-005,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-006,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-007,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-009,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-010,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-011,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-012,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-013,context_corruption,2,2,search_catalog returned a malformed result
langgraph7b,langgraph-context_corruption-014,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-015,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-016,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-017,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-018,context_corruption,3,5,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-019,context_corruption,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-020,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-021,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-022,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-023,context_corruption,2,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-024,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-025,context_corruption,3,4,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-026,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-027,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-028,context_corruption,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-029,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-030,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-032,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-context_corruption-033,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-context_corruption-034,context_corruption,3,3,calculator returned a malformed result
langgraph7b,langgraph-context_corruption-035,context_corruption,3,3,lookup_flight returned a malformed result
