dataset,episode_id,label,total_consistency,required_coverage
organic_demo7b_provoked,organic-demo-043,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-044,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-045,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-046,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-047,hallucinated,True,True
organic_demo7b_provoked,organic-demo-048,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-049,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-050,hallucinated,True,True
organic_demo7b_provoked,organic-demo-051,hallucinated,True,True
organic_demo7b_provoked,organic-demo-052,other,True,True
organic_demo7b_provoked,organic-demo-053,other,True,True
organic_demo7b_provoked,organic-demo-054,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-055,hallucinated,True,True
organic_demo7b_provoked,organic-demo-056,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-057,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-058,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-059,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-060,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-061,hallucinated,True,True
organic_demo7b_provoked,organic-demo-062,other,True,True
organic_demo7b_provoked,organic-demo-063,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-064,other,True,True
organic_demo7b_provoked,organic-demo-065,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-066,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-067,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-068,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-069,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-070,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-071,other,True,True
organic_demo7b_provoked,organic-demo-072,hallucinated,True,True
organic_demo7b_provoked,organic-demo-073,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-074,other,True,True
organic_demo7b_provoked,organic-demo-075,other,True,True
organic_demo7b_provoked,organic-demo-076,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-077,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-078,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-079,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-080,other,True,False
organic_demo7b_provoked,organic-demo-081,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-082,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-083,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-084,incomplete,False,False
organic_demo7b_provoked,organic-demo-085,other,False,True
organic_demo7b_provoked,organic-demo-086,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-087,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-088,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-089,hallucinated,True,True
organic_demo7b_provoked,organic-demo-090,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-091,incomplete,False,True
organic_demo7b_provoked,organic-demo-092,hallucinated,True,True
organic_demo7b_provoked,organic-demo-093,arithmetic_error,True,False
organic_demo7b_provoked,organic-demo-094,other,True,True
organic_demo7b_provoked,organic-demo-095,other,True,True
organic_demo7b_provoked,organic-demo-096,other,True,True
organic_demo7b_provoked,organic-demo-097,hallucinated,True,True
organic_demo7b_provoked,organic-demo-098,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-099,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-100,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-101,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-102,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-103,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-104,other,True,True
organic_demo7b_provoked,organic-demo-105,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-106,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-107,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-108,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-109,hallucinated,True,True
organic_demo7b_provoked,organic-demo-110,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-111,hallucinated,True,True
organic_demo7b_provoked,organic-demo-112,hallucinated,True,True
organic_demo7b_provoked,organic-demo-113,hallucinated,True,True
organic_demo7b_provoked,organic-demo-114,other,True,True
organic_demo7b_provoked,organic-demo-115,incomplete,False,True
organic_demo7b_provoked,organic-demo-116,other,True,False
organic_demo7b_provoked,organic-demo-117,other,True,True
organic_demo7b_provoked,organic-demo-118,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-119,hallucinated,True,False
